algorithm,n,trial,time_ns,comparisons,array_writes,allocations,maxRecDepth
ClosestPair,100,0,1469083,281,0,0,7
ClosestPair,100,1,514500,282,0,0,7
ClosestPair,100,2,576917,279,0,0,7
ClosestPair,1000,0,1612625,3481,0,0,10
ClosestPair,1000,1,1198083,3450,0,0,10
ClosestPair,1000,2,1122834,3464,0,0,10
ClosestPair,5000,0,4962334,13062,0,0,13
ClosestPair,5000,1,2286458,13004,0,0,13
ClosestPair,5000,2,2341250,13021,0,0,13
